Epoch:72 | Cross Entropy Error: 0.22909204488279394 | Accuacy: 93.42333333333333%
Epoch:73 | Cross Entropy Error: 0.2277077034773136 | Accuacy: 93.455%
Epoch:74 | Cross Entropy Error: 0.2263453493786279 | Accuacy: 93.50666666666667%
Epoch:75 | Cross Entropy Error: 0.22500402010580026 | Accuacy: 93.55666666666667%
Epoch:76 | Cross Entropy Error: 0.22368268753513218 | Accuacy: 93.60333333333334%
Epoch:77 | Cross Entropy Error: 0.22238089884257467 | Accuacy: 93.63333333333334%
Epoch:78 | Cross Entropy Error: 0.22109839197257494 | Accuacy: 93.66499999999999%
Epoch:79 | Cross Entropy Error: 0.2198344764588669 | Accuacy: 93.70666666666668%
Epoch:80 | Cross Entropy Error: 0.21858858758689192 | Accuacy: 93.75%
Epoch:81 | Cross Entropy Error: 0.21735963976756872 | Accuacy: 93.78166666666667%
Epoch:82 | Cross Entropy Error: 0.2161479630936066 | Accuacy: 93.83166666666666%
Epoch:83 | Cross Entropy Error: 0.2149537923225423 | Accuacy: 93.85166666666666%
Epoch:84 | Cross Entropy Error: 0.21377683058162375 | Accuacy: 93.88499999999999%
Epoch:85 | Cross Entropy Error: 0.21261597313122488 | Accuacy: 93.91666666666667%
Epoch:86 | Cross Entropy Error: 0.21147024883651208 | Accuacy: 93.95166666666667%
Epoch:87 | Cross Entropy Error: 0.21033941466090658 | Accuacy: 93.97833333333332%
Epoch:88 | Cross Entropy Error: 0.2092220252661624 | Accuacy: 94.00166666666667%
Epoch:89 | Cross Entropy Error: 0.20811731154000152 | Accuacy: 94.03833333333334%
Epoch:90 | Cross Entropy Error: 0.20702549059967132 | Accuacy: 94.07166666666666%
Epoch:91 | Cross Entropy Error: 0.20594690032113122 | Accuacy: 94.10833333333333%
Epoch:92 | Cross Entropy Error: 0.2048808353135696 | Accuacy: 94.13833333333334%
Epoch:93 | Cross Entropy Error: 0.2038267255236315 | Accuacy: 94.17166666666667%
Epoch:94 | Cross Entropy Error: 0.20278519938150716 | Accuacy: 94.19666666666666%
Epoch:95 | Cross Entropy Error: 0.20175636870917107 | Accuacy: 94.23166666666667%
Epoch:96 | Cross Entropy Error: 0.20073930179150534 | Accuacy: 94.26333333333334%
Epoch:97 | Cross Entropy Error: 0.19973357156835897 | Accuacy: 94.28666666666666%
Epoch:98 | Cross Entropy Error: 0.1987394984684021 | Accuacy: 94.31%
Epoch:99 | Cross Entropy Error: 0.19775600955003345 | Accuacy: 94.33166666666666%
Epoch:100 | Cross Entropy Error: 0.1967831991586878 | Accuacy: 94.35%
Epoch:101 | Cross Entropy Error: 0.1958214347572855 | Accuacy: 94.39%
Epoch:102 | Cross Entropy Error: 0.1948706693392901 | Accuacy: 94.41666666666667%
Epoch:103 | Cross Entropy Error: 0.1939306257816006 | Accuacy: 94.44500000000001%
Epoch:104 | Cross Entropy Error: 0.19300076434077507 | Accuacy: 94.47166666666666%
Epoch:105 | Cross Entropy Error: 0.1920801793145537 | Accuacy: 94.51166666666667%
Epoch:106 | Cross Entropy Error: 0.1911688816494297 | Accuacy: 94.535%
Epoch:107 | Cross Entropy Error: 0.1902665326352153 | Accuacy: 94.565%
Epoch:108 | Cross Entropy Error: 0.18937275161283598 | Accuacy: 94.58166666666666%
Epoch:109 | Cross Entropy Error: 0.1884879206275359 | Accuacy: 94.60166666666666%
Epoch:110 | Cross Entropy Error: 0.1876118319927301 | Accuacy: 94.63666666666667%
Epoch:111 | Cross Entropy Error: 0.18674457291629157 | Accuacy: 94.65333333333334%
Epoch:112 | Cross Entropy Error: 0.1858852931989924 | Accuacy: 94.67666666666666%
Epoch:113 | Cross Entropy Error: 0.18503434757646414 | Accuacy: 94.69166666666666%
Epoch:114 | Cross Entropy Error: 0.18419109025937364 | Accuacy: 94.71166666666667%
Epoch:115 | Cross Entropy Error: 0.18335608963497713 | Accuacy: 94.74333333333334%
Epoch:116 | Cross Entropy Error: 0.1825290016778375 | Accuacy: 94.76666666666667%
Epoch:117 | Cross Entropy Error: 0.18170964836626227 | Accuacy: 94.78999999999999%
Epoch:118 | Cross Entropy Error: 0.18089805079802526 | Accuacy: 94.81%
Epoch:119 | Cross Entropy Error: 0.18009418148896056 | Accuacy: 94.84333333333333%
Epoch:120 | Cross Entropy Error: 0.17929768883578942 | Accuacy: 94.87333333333333%
Epoch:121 | Cross Entropy Error: 0.17850878842902973 | Accuacy: 94.89166666666667%
Epoch:122 | Cross Entropy Error: 0.17772710243736595 | Accuacy: 94.91666666666667%
Epoch:123 | Cross Entropy Error: 0.17695293280736543 | Accuacy: 94.94166666666666%
